lat,lon,value,power,crl,flag
76.10182292204932,-131.58905504464425,"{""a"": 90.32891597525975, ""s"": 3.383133524726804, ""mu"": 2.266655707385769, ""pt"": 0.00982667012944007, ""ID"": -1}","{""pt"": 39.08809799935695, ""pc"": 39.11653596712207, ""pn"": 17.150538313613172, ""pc-pn"": 21.965997653508897, ""mu"": 2.266655707385769}",0.9966644329944061,1
76.19268390198094,-131.56636963754949,"{""a"": 90.47544436242156, ""s"": 4.499069130924217, ""mu"": 1.3269597707729572, ""pt"": 0.0099461531273581, ""ID"": -1}","{""pt"": 39.1336100509695, ""pc"": 39.13061449571499, ""pn"": 17.30133085121258, ""pc-pn"": 21.829283644502407, ""mu"": 1.3269597707729572}",0.9871078367283641,1
76.28355947594736,-131.543380827958,"{""a"": 90.81950310102546, ""s"": 4.51892060663204, ""mu"": 1.4187614968020172, ""pt"": 0.00995954683845497, ""ID"": -1}","{""pt"": 39.16191778233345, ""pc"": 39.16358242849053, ""pn"": 17.630088119505423, ""pc-pn"": 21.533494308985105, ""mu"": 1.4187614968020172}",0.9911035357843302,1
76.37444949324696,-131.5200824957303,"{""a"": 90.75638635370342, ""s"": 5.282222849907468, ""mu"": 1.1974078959590901, ""pt"": 0.010065007910874748, ""ID"": -1}","{""pt"": 39.155270678865115, ""pc"": 39.157543905146056, ""pn"": 18.249055524319864, ""pc-pn"": 20.908488380826192, ""mu"": 1.1974078959590901}",0.9851289648186063,1
76.46535380185924,-131.49646835521554,"{""a"": 91.17265209866784, ""s"": 4.446790823177829, ""mu"": 1.6985459870517556, ""pt"": 0.009940373906063695, ""ID"": -1}","{""pt"": 39.157765556410105, ""pc"": 39.19729176135674, ""pn"": 18.272007067525266, ""pc-pn"": 20.925284693831472, ""mu"": 1.6985459870517556}",0.9934164894767272,1
76.55627224840445,-131.47253194962587,"{""a"": 91.23217967401021, ""s"": 3.660104517009829, ""mu"": 1.7319834673956946, ""pt"": 0.010028293438436106, ""ID"": -1}","{""pt"": 39.12954040301681, ""pc"": 39.202961018724274, ""pn"": 16.665607121657068, ""pc-pn"": 22.537353897067206, ""mu"": 1.7319834673956946}",0.9942462483472537,1
76.64720467810152,-131.44826664517961,"{""a"": 90.13063033258993, ""s"": 5.98918241450524, ""mu"": 1.0116823648703124, ""pt"": 0.009899725608827003, ""ID"": -1}","{""pt"": 39.09738248448785, ""pc"": 39.097448166699216, ""pn"": 18.608092567966196, ""pc-pn"": 20.48935559873302, ""mu"": 1.0116823648703124}",0.9589038445012972,1
76.73815093472416,-131.42366562500263,"{""a"": 90.18580186394091, ""s"": 3.2611109354166383, ""mu"": 1.6230276253762446, ""pt"": 0.009871431488314696, ""ID"": -1}","{""pt"": 39.086241597981484, ""pc"": 39.10276342101736, ""pn"": 15.380870531249695, ""pc-pn"": 23.721892889767663, ""mu"": 1.6230276253762446}",0.9869739670604201,1
76.82911086055529,-131.39872188277656,"{""a"": 90.28405207555294, ""s"": 4.319997044583709, ""mu"": 1.3990155447444517, ""pt"": 0.010020510338980115, ""ID"": -1}","{""pt"": 39.041030639966955, ""pc"": 39.11222085183653, ""pn"": 17.178194351233167, ""pc-pn"": 21.934026500603366, ""mu"": 1.3990155447444517}",0.9874259999406597,1
76.92008429633928,-131.37342821612037,"{""a"": 90.76356888616111, ""s"": 4.229133106321809, ""mu"": 1.673485450100635, ""pt"": 0.010031247560730228, ""ID"": -1}","{""pt"": 39.041047617716785, ""pc"": 39.15823128614721, ""pn"": 17.771546448606223, ""pc-pn"": 21.38668483754099, ""mu"": 1.673485450100635}",0.98820286589698,1
77.01107108123242,-131.34777721969368,"{""a"": 89.84708300358308, ""s"": 4.116438931533918, ""mu"": 2.1570382448303858, ""pt"": 0.00997234422113593, ""ID"": -1}","{""pt"": 38.965092518161356, ""pc"": 39.07007963535237, ""pn"": 18.6393119482757, ""pc-pn"": 20.43076768707667, ""mu"": 2.1570382448303858}",0.9886791036055607,1
77.10207105275093,-131.32176127800662,"{""a"": 90.50289405146052, ""s"": 5.43910721092713, ""mu"": 1.3185970105686833, ""pt"": 0.010117858102844404, ""ID"": -1}","{""pt"": 39.0528168098064, ""pc"": 39.133249341117036, ""pn"": 18.921973211360946, ""pc-pn"": 20.21127612975609, ""mu"": 1.3185970105686833}",0.987310323138142,1
77.19308404671706,-131.29537255792286,"{""a"": 91.30891441882017, ""s"": 4.057960901694226, ""mu"": 1.620709231894598, ""pt"": 0.009963168966509487, ""ID"": -1}","{""pt"": 39.19829071872585, ""pc"": 39.21026358878278, ""pn"": 17.273508182343456, ""pc-pn"": 21.936755406439325, ""mu"": 1.620709231894598}",0.994360485953662,1
77.2841098972026,-131.26860300083953,"{""a"": 91.87360468511572, ""s"": 4.459448625878732, ""mu"": 1.6514747493681579, ""pt"": 0.010018611333286699, ""ID"": -1}","{""pt"": 39.21815739881248, ""pc"": 39.263815127362015, ""pn"": 18.174642636752743, ""pc-pn"": 21.089172490609272, ""mu"": 1.6514747493681579}",0.99464741897796,1
77.37514843646994,-131.241444314528,"{""a"": 92.49147975352925, ""s"": 3.450919210880967, ""mu"": 1.881349081127552, ""pt"": 0.01015915992278143, ""ID"": -1}","{""pt"": 39.28713040239985, ""pc"": 39.32203455392536, ""pn"": 16.513689656679816, ""pc-pn"": 22.808344897245547, ""mu"": 1.881349081127552}",0.9947996395945424,1
77.46619949491065,-131.21388796461844,"{""a"": 92.57962964595521, ""s"": 4.953640128558068, ""mu"": 1.3486506877473883, ""pt"": 0.010025127996050098, ""ID"": -1}","{""pt"": 39.22550364639412, ""pc"": 39.33030878211369, ""pn"": 18.20778379501299, ""pc-pn"": 21.1225249871007, ""mu"": 1.3486506877473883}",0.9902645898807719,1
77.55726290098116,-131.18592516570965,"{""a"": 92.83231618629164, ""s"": 4.297325356640198, ""mu"": 1.5021052757283249, ""pt"": 0.010070945868720232, ""ID"": -1}","{""pt"": 39.29009570157108, ""pc"": 39.35398372658788, ""pn"": 17.441268390925654, ""pc-pn"": 21.912715335662224, ""mu"": 1.5021052757283249}",0.9875069178911305,1
77.64833848113561,-131.15754687208513,"{""a"": 92.85198597855701, ""s"": 4.080567211276689, ""mu"": 1.493233757456688, ""pt"": 0.01000931034376444, ""ID"": -1}","{""pt"": 39.27477281141407, ""pc"": 39.355823942949385, ""pn"": 16.96598866186289, ""pc-pn"": 22.389835281086494, ""mu"": 1.493233757456688}",0.9916488324136201,1
77.73942605975577,-131.12874376801437,"{""a"": 92.95724001715803, ""s"": 4.327278601009027, ""mu"": 1.701564451534898, ""pt"": 0.009892518691265853, ""ID"": -1}","{""pt"": 39.25161352490295, ""pc"": 39.365664412992096, ""pn"": 18.043081136567892, ""pc-pn"": 21.322583276424204, ""mu"": 1.701564451534898}",0.9840739795997501,1
77.83052545907756,-131.09950625761812,"{""a"": 93.47375664629249, ""s"": 3.9821461946426964, ""mu"": 1.758505680606749, ""pt"": 0.010051466263599138, ""ID"": -1}","{""pt"": 39.332438044215316, ""pc"": 39.413793940767874, ""pn"": 17.46408171309217, ""pc-pn"": 21.949712227675704, ""mu"": 1.758505680606749}",0.9938490041428527,1
